#{"t_start": 1626369421.1535647, "env_id": "BeamRiderNoFrameskip-v4"}
r,l,t
2160.0,14251,12291.31199
3000.0,13387,12313.229729
2160.0,10811,12331.072333
3240.0,16889,12358.488727
1044.0,10429,12375.448451
1796.0,10055,12392.053535
1380.0,6417,12402.483421
1380.0,9865,12418.788425
1848.0,11023,12436.624085
1588.0,8041,12449.740802
2888.0,11819,12468.86011
2056.0,16887,12496.245255
1380.0,10331,12512.875139
2496.0,14713,12536.709918
5084.0,20657,12570.028711
3840.0,15283,12783.64831
2108.0,12210,12803.372242
3000.0,15457,12828.31062
1536.0,10927,12846.028728
616.0,4963,12853.92207
1332.0,13799,12876.318449
1332.0,7775,12888.924782
4576.0,17743,12917.662023
756.0,6911,12928.840373
3000.0,15441,12953.726671
4992.0,19501,12985.3546
2160.0,14521,13009.073315
1900.0,9828,13024.925967
1432.0,9481,13040.179949
1140.0,10033,13056.4542
1796.0,14565,13080.33461
5118.0,20522,13113.867178
2160.0,15317,13138.716773
1380.0,9827,13154.590257
3240.0,15682,13179.810364
3000.0,14811,13203.90455
1044.0,6227,13213.901924
2160.0,13584,13235.882654
2496.0,13254,13257.167498
3000.0,14179,13280.226037
1900.0,9851,13296.26072
2160.0,10697,13313.450588
4710.0,19549,13345.25063
1188.0,7980,13358.184323
1588.0,12027,13377.43011
3900.0,18349,13406.983767
1380.0,9159,13421.744724
1588.0,10835,13439.28328
3364.0,13617,13461.03734
6210.0,23115,13498.259154
1952.0,10115,13514.680223
1332.0,13213,13536.14313
6246.0,18773,13566.415987
3840.0,17473,13594.704844
1284.0,12113,13614.228888
5182.0,19818,13646.554688
660.0,7191,13658.144222
4770.0,21445,13692.859253
852.0,10593,13709.861634
2944.0,15563,13734.819356
2160.0,13345,13756.681543
3000.0,15833,13782.482961
1332.0,9134,13797.120415
3360.0,16227,13823.454535
1284.0,7997,13836.263732
1744.0,10683,13853.410944
1332.0,9889,13869.239789
1380.0,14271,13892.413896
5132.0,22221,13928.828223
2552.0,12593,13949.304587
4604.0,18447,13979.487172
3240.0,15013,14003.799103
2944.0,11731,14023.030506
1380.0,7905,14035.924519
1900.0,9959,14052.044515
440.0,3225,14057.21581
